architecture_id,input_vectors,ssim,ncc,mae,mre,mred,accuracy_rank
426,1000000,0.949933,0.9797,6161.352,0.105195,0.068231,349
427,1000000,0.942478,0.976678,7018.297,0.120868,0.078295,368
428,1000000,0.999965,0.999983,0.0,0.0,0.000865,21
429,1000000,0.998198,0.99927,274.993,0.003796,0.002344,64
430,1000000,0.996163,0.998448,509.156,0.008151,0.004237,95
431,1000000,0.994546,0.997787,738.888,0.011424,0.007825,139
432,1000000,0.990444,0.996128,1214.761,0.020127,0.012479,181
433,1000000,0.986036,0.994343,1737.438,0.029439,0.0179,206
434,1000000,0.981359,0.992442,2323.937,0.039156,0.025509,238
435,1000000,0.975737,0.990163,3007.592,0.050987,0.032978,267
436,1000000,0.969831,0.987767,3699.737,0.06336,0.041425,289
437,1000000,0.96301,0.985002,4505.063,0.07771,0.050506,316
438,1000000,0.955353,0.981892,5445.473,0.093674,0.062341,344
439,1000000,0.946848,0.97845,6444.072,0.11168,0.0724,359
440,1000000,0.93672,0.974348,7721.816,0.133065,0.085023,374
441,1000000,0.926629,0.970251,8867.385,0.15413,0.100299,388
442,1000000,0.916527,0.966152,10084.456,0.175292,0.11479,400
443,1000000,0.904993,0.96148,11529.612,0.19963,0.129324,411
