architecture_id,family,variant,strategy,w_bits,m_bits,l_bits,k_bits,configuration,is_literature_baseline,selected_for_synthesis,ssim,ncc,mae,mre,mred,error_class,energy_saving_pct,area_saving_pct,power_mw,area_um2,delay_ns,pdp,edp,balanced_score,profile,pareto_energy_error,pareto_area_error,is_acceptable_mred_010,is_acceptable_mred_005
98,M-AxPPA,M-AxPPA-COPY,COPY,16,11,3,2,"M=11, L=3, K=2",0,0,0.997342,0.998924,326.464,0.00562,0.003218,Baixo erro,32.9196,24.4336,0.838505,755.664,4.78125,4.009103,19.168525,0.618005,Prioridade em acuracia,0,0,1,1
99,M-AxPPA,M-AxPPA-COPY,COPY,16,11,4,1,"M=11, L=4, K=1",0,0,0.998845,0.999534,148.243,0.002478,0.000981,Baixo erro,28.523,20.7705,0.893462,792.295,4.890625,4.369589,21.370022,0.596717,Prioridade em acuracia,0,0,1,1
100,M-AxPPA,M-AxPPA-COPY,COPY,16,12,1,3,"M=12, L=1, K=3",0,1,0.996029,0.998389,543.502,0.008334,0.005522,Baixo erro,36.1278,27.2871,0.798402,727.129,4.671875,3.730035,17.42626,0.633182,Prioridade em acuracia,0,0,1,1
101,M-AxPPA,M-AxPPA-COPY,COPY,16,12,2,2,"M=12, L=2, K=2",0,0,0.997245,0.998886,385.605,0.005856,0.002991,Baixo erro,33.3475,23.5246,0.833156,764.754,4.78125,3.983527,19.046237,0.617777,Prioridade em acuracia,0,0,1,1
102,M-AxPPA,M-AxPPA-COPY,COPY,16,12,3,1,"M=12, L=3, K=1",0,0,0.999167,0.999666,88.14,0.00184,0.000131,Baixo erro,28.6089,20.7879,0.892388,792.121,4.890625,4.364337,21.344337,0.598019,Prioridade em acuracia,1,1,1,1
103,M-AxPPA,M-AxPPA-COPY,COPY,16,13,1,2,"M=13, L=1, K=2",0,0,0.998096,0.999224,272.38,0.003906,0.003654,Baixo erro,30.485,24.4879,0.868938,755.121,4.78125,4.15461,19.86423,0.608939,Prioridade em acuracia,0,0,1,1
104,M-AxPPA,M-AxPPA-COPY,COPY,16,13,2,1,"M=13, L=2, K=1",0,0,0.998806,0.999516,132.723,0.002512,0.001588,Baixo erro,26.7287,21.3038,0.915892,786.962,4.890625,4.479284,21.906496,0.590805,Prioridade em acuracia,0,0,1,1
105,M-AxPPA,M-AxPPA-COPY,COPY,16,14,1,1,"M=14, L=1, K=1",0,0,0.999768,0.999907,65.551,0.000516,0.0,Baixo erro,25.9464,18.4083,0.92567,815.917,4.890625,4.527105,22.140375,0.583393,Prioridade em acuracia,1,1,1,1
106,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,1,14,"M=1, L=1, K=14",0,0,0.835,0.932,20460.0,0.362,0.2249502547796642,Erro moderado,98.0,84.7175,0.025,152.825,3.46875,0.086719,0.300806,0.734193,Prioridade em energia,1,1,0,0
107,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,2,13,"M=1, L=2, K=13",0,0,0.852603,0.940261,17738.152,0.310212,0.195033,Erro moderado,95.1608,80.0103,0.06049,199.897,3.578125,0.216443,0.774458,0.747318,Prioridade em energia,0,0,0,0
108,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,3,12,"M=1, L=3, K=12",0,0,0.873254,0.948637,15277.861,0.266891,0.166128,Erro moderado,90.0027,77.2431,0.124966,227.569,3.6875,0.460812,1.699243,0.755314,Prioridade em energia,0,0,0,0
109,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,4,11,"M=1, L=4, K=11",0,0,0.89455,0.957262,12679.213,0.221923,0.139609,Erro moderado,87.4392,74.7963,0.15701,252.037,3.796875,0.596148,2.263498,0.770599,Prioridade em area,0,1,0,0
110,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,5,10,"M=1, L=5, K=10",0,0,0.911584,0.964171,10689.352,0.186199,0.115667,Erro moderado,82.4615,71.6965,0.219232,283.035,3.90625,0.856374,3.34521,0.772916,Prioridade em area,0,1,0,0
111,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,6,9,"M=1, L=6, K=9",0,0,0.928307,0.970951,8684.342,0.151068,0.09282,Erro controlado,77.7367,68.0098,0.278291,319.902,4.015625,1.117512,4.487508,0.773605,Prioridade em area,0,0,1,0
112,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,7,8,"M=1, L=7, K=8",0,1,0.94398,0.977294,6799.878,0.117862,0.074551,Erro controlado,72.8804,62.8148,0.338995,371.852,4.125,1.398355,5.768214,0.765334,Trade-off intermediario,0,0,1,0
113,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,8,7,"M=1, L=8, K=7",0,0,0.95686,0.982515,5223.795,0.090778,0.057257,Erro controlado,67.5949,59.5514,0.405064,404.486,4.234375,1.715194,7.262776,0.758706,Trade-off intermediario,0,0,1,0
114,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,9,6,"M=1, L=9, K=6",0,0,0.968035,0.987045,3863.066,0.067272,0.042328,Baixo erro,64.4625,55.9236,0.444218,440.764,4.34375,1.929574,8.381587,0.756299,Prioridade em acuracia,0,0,1,1
115,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,10,5,"M=1, L=10, K=5",0,0,0.978004,0.991087,2674.721,0.046344,0.028535,Baixo erro,59.3484,53.5705,0.508145,464.295,4.453125,2.262833,10.076679,0.748356,Prioridade em acuracia,0,1,1,1
116,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,11,4,"M=1, L=11, K=4",0,0,0.984603,0.993762,1872.069,0.032456,0.01979,Baixo erro,55.4007,50.7696,0.557492,492.304,4.5625,2.543556,11.604974,0.737905,Prioridade em acuracia,0,1,1,1
117,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,12,3,"M=1, L=12, K=3",0,0,0.991002,0.996358,1156.697,0.019048,0.01066,Baixo erro,50.3937,46.1539,0.620079,538.461,4.671875,2.896932,13.534103,0.720089,Prioridade em acuracia,0,1,1,1
118,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,13,2,"M=1, L=13, K=2",0,0,0.995409,0.998139,543.294,0.009665,0.006041,Baixo erro,45.1204,45.3989,0.685995,546.011,4.78125,3.279912,15.68208,0.704785,Prioridade em acuracia,0,1,1,1
119,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,1,14,1,"M=1, L=14, K=1",0,1,0.997448,0.998975,365.829,0.005572,0.001118,Baixo erro,41.5565,40.7594,0.730543,592.406,4.890625,3.572813,17.47329,0.687334,Prioridade em acuracia,1,1,1,1
120,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,1,13,"M=2, L=1, K=13",0,1,0.852594,0.940264,17713.367,0.310382,0.193346,Erro moderado,96.25,84.46,0.046875,155.4,3.578125,0.167725,0.60014,0.762952,Prioridade em energia,1,1,0,0
121,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,2,12,"M=2, L=2, K=12",0,0,0.873703,0.948821,15204.685,0.265986,0.16509,Erro moderado,89.2583,77.8227,0.134272,221.773,3.6875,0.495127,1.825783,0.755106,Prioridade em energia,0,1,0,0
122,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,3,11,"M=2, L=3, K=11",0,0,0.893996,0.957043,12772.069,0.22322,0.138863,Erro moderado,86.076,73.0474,0.17405,269.526,3.796875,0.660847,2.509152,0.762701,Prioridade em area,0,1,0,0
123,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,4,10,"M=2, L=4, K=10",0,0,0.912579,0.96457,10496.583,0.184008,0.115436,Erro moderado,81.6198,69.4396,0.229753,305.604,3.90625,0.897473,3.505752,0.765177,Prioridade em area,0,0,0,0
124,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,5,9,"M=2, L=5, K=9",0,0,0.928205,0.970909,8689.189,0.15125,0.093319,Erro controlado,77.5477,67.3472,0.280653,326.528,4.015625,1.126999,4.525604,0.770903,Prioridade em area,0,0,1,0
125,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,6,8,"M=2, L=6, K=8",0,0,0.943215,0.97699,6858.586,0.119601,0.074104,Erro controlado,72.4293,62.3595,0.344634,376.405,4.125,1.421617,5.864168,0.763219,Trade-off intermediario,0,0,1,0
126,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,7,7,"M=2, L=7, K=7",0,0,0.957152,0.982633,5178.363,0.090158,0.056908,Erro controlado,68.6659,59.7488,0.391676,402.512,4.234375,1.658504,7.022726,0.763361,Trade-off intermediario,0,0,1,0
127,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,8,6,"M=2, L=8, K=6",0,0,0.968093,0.987068,3894.736,0.067135,0.04239,Baixo erro,63.9857,55.3802,0.450179,446.198,4.34375,1.955463,8.494044,0.753324,Prioridade em acuracia,0,0,1,1
128,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,9,5,"M=2, L=9, K=5",0,0,0.977696,0.990963,2718.844,0.047012,0.028723,Baixo erro,57.5511,52.3409,0.530611,476.591,4.453125,2.362878,10.522189,0.739005,Prioridade em acuracia,0,0,1,1
129,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,10,4,"M=2, L=10, K=4",0,0,0.985356,0.994069,1772.44,0.030907,0.018404,Baixo erro,53.1014,49.5035,0.586232,504.965,4.5625,2.674684,12.203247,0.728452,Prioridade em acuracia,0,1,1,1
130,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,11,3,"M=2, L=11, K=3",0,0,0.991332,0.996486,1085.744,0.018222,0.011698,Baixo erro,49.8618,46.2564,0.626728,537.436,4.671875,2.927994,13.679223,0.717247,Prioridade em acuracia,0,0,1,1
131,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,12,2,"M=2, L=12, K=2",0,0,0.995015,0.997985,611.098,0.010602,0.00535,Baixo erro,45.8707,44.4808,0.676617,555.192,4.78125,3.235073,15.467694,0.706211,Prioridade em acuracia,1,1,1,1
132,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,2,13,1,"M=2, L=13, K=1",0,0,0.998107,0.99924,230.99,0.004142,0.000718,Baixo erro,41.0959,39.3642,0.736302,606.358,4.890625,3.600975,17.61102,0.683053,Prioridade em acuracia,1,0,1,1
133,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,1,12,"M=3, L=1, K=12",0,1,0.87416,0.949002,15148.761,0.264927,0.165579,Erro moderado,89.8398,76.0174,0.127003,239.826,3.6875,0.468323,1.726943,0.752638,Prioridade em energia,0,0,0,0
134,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,2,11,"M=3, L=2, K=11",0,0,0.894129,0.957096,12725.986,0.222918,0.138933,Erro moderado,84.0692,72.0104,0.199136,279.896,3.796875,0.756093,2.870789,0.753161,Prioridade em area,0,0,0,0
135,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,3,10,"M=3, L=3, K=10",0,0,0.912344,0.964474,10587.978,0.184501,0.115777,Erro moderado,80.5022,69.2572,0.243722,307.428,3.90625,0.95204,3.718906,0.760398,Prioridade em area,0,0,0,0
136,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,4,9,"M=3, L=4, K=9",0,0,0.929336,0.971365,8535.567,0.14882,0.092368,Erro controlado,75.0797,67.174,0.311503,328.26,4.015625,1.250881,5.023069,0.762776,Prioridade em area,0,0,1,0
137,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,5,8,"M=3, L=5, K=8",0,0,0.943464,0.977092,6867.264,0.119111,0.073389,Erro controlado,70.4982,63.0695,0.368773,369.305,4.125,1.521187,6.274896,0.758698,Trade-off intermediario,0,0,1,0
138,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,6,7,"M=3, L=6, K=7",0,0,0.956307,0.982295,5276.195,0.092039,0.056882,Erro controlado,67.3108,59.6069,0.408615,403.931,4.234375,1.730231,7.326446,0.758236,Trade-off intermediario,0,0,1,0
139,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,7,6,"M=3, L=7, K=6",0,0,0.968389,0.987193,3828.106,0.066629,0.040699,Baixo erro,63.0564,56.1781,0.461794,438.219,4.34375,2.005919,8.713213,0.753674,Prioridade em acuracia,0,1,1,1
140,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,8,5,"M=3, L=8, K=5",0,0,0.977491,0.990877,2712.449,0.047374,0.02976,Baixo erro,58.4681,51.3669,0.519149,486.331,4.453125,2.311836,10.294895,0.738957,Prioridade em acuracia,0,0,1,1
141,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,9,4,"M=3, L=9, K=4",0,0,0.985387,0.994079,1770.671,0.030781,0.019028,Baixo erro,52.0497,49.7711,0.599378,502.289,4.5625,2.734664,12.476903,0.724586,Prioridade em acuracia,0,1,1,1
142,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,10,3,"M=3, L=10, K=3",0,0,0.99107,0.996385,1088.663,0.018888,0.010762,Baixo erro,48.778,46.4857,0.640275,535.143,4.671875,2.991285,13.974908,0.714938,Prioridade em acuracia,0,1,1,1
143,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,11,2,"M=3, L=11, K=2",0,0,0.995472,0.998172,596.095,0.009699,0.004086,Baixo erro,44.6876,42.5164,0.691405,574.836,4.78125,3.305782,15.805768,0.699063,Prioridade em acuracia,1,1,1,1
144,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,3,12,1,"M=3, L=12, K=1",0,0,0.997874,0.999146,270.515,0.004646,0.000887,Baixo erro,39.8336,39.432,0.75208,605.68,4.890625,3.678143,17.988416,0.678504,Prioridade em acuracia,0,0,1,1
145,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,1,11,"M=4, L=1, K=11",0,1,0.894553,0.957262,12692.142,0.221889,0.139921,Erro moderado,84.5083,71.3486,0.193646,286.514,3.796875,0.73525,2.791651,0.752152,Prioridade em area,0,0,0,0
146,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,2,10,"M=4, L=2, K=10",0,0,0.913042,0.964759,10511.288,0.183069,0.11443,Erro moderado,80.7522,68.5772,0.240597,314.228,3.90625,0.939833,3.671225,0.761303,Prioridade em area,0,0,0,0
147,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,3,9,"M=4, L=3, K=9",0,0,0.928967,0.971212,8587.163,0.149518,0.093758,Erro controlado,75.8406,65.8305,0.301992,341.695,4.015625,1.212687,4.869697,0.760956,Prioridade em area,0,0,1,0
148,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,4,8,"M=4, L=4, K=8",0,0,0.943039,0.97692,6928.776,0.120014,0.073866,Erro controlado,70.0763,60.8043,0.374046,391.957,4.125,1.542939,6.364622,0.751643,Trade-off intermediario,0,0,1,0
149,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,5,7,"M=4, L=5, K=7",0,0,0.956197,0.982252,5330.363,0.092298,0.056717,Erro controlado,64.9594,58.5184,0.438007,414.816,4.234375,1.854687,7.853441,0.747616,Trade-off intermediario,0,0,1,0
150,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,6,6,"M=4, L=6, K=6",0,0,0.967987,0.987026,3894.974,0.067383,0.042267,Baixo erro,61.431,54.5463,0.482113,454.537,4.34375,2.094179,9.096589,0.742494,Prioridade em acuracia,0,0,1,1
151,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,7,5,"M=4, L=7, K=5",0,0,0.977005,0.990684,2806.956,0.048478,0.029504,Baixo erro,57.1779,51.5377,0.535277,484.623,4.453125,2.383654,10.614711,0.735016,Prioridade em acuracia,0,0,1,1
152,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,8,4,"M=4, L=8, K=4",0,0,0.985703,0.994208,1770.633,0.030153,0.018219,Baixo erro,52.8991,49.4058,0.588762,505.942,4.5625,2.686225,12.255901,0.727722,Prioridade em acuracia,0,1,1,1
153,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,9,3,"M=4, L=9, K=3",0,0,0.991049,0.996377,1121.876,0.018933,0.010772,Baixo erro,48.694,46.7685,0.641325,532.315,4.671875,2.996191,13.997829,0.715252,Prioridade em acuracia,0,1,1,1
154,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,10,2,"M=4, L=10, K=2",0,0,0.9987,0.9993,10300.0,0.0202,0.004186216707729472,Baixo erro,42.3951,41.7625,0.720061,582.375,4.78125,3.442794,16.460857,0.689095,Prioridade em acuracia,0,0,1,1
155,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,4,11,1,"M=4, L=11, K=1",0,0,0.998604,0.999437,186.067,0.002989,0.001269,Baixo erro,38.8823,38.306,0.763971,616.94,4.890625,3.736295,18.272816,0.672186,Prioridade em acuracia,0,0,1,1
156,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,1,10,"M=5, L=1, K=10",0,0,0.912999,0.964742,10504.699,0.183171,0.11435,Erro moderado,78.8102,67.3489,0.264873,326.511,3.90625,1.03466,4.041641,0.75174,Prioridade em area,0,0,0,0
157,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,2,9,"M=5, L=2, K=9",0,0,0.928763,0.971136,8599.551,0.150105,0.092239,Erro controlado,73.7388,63.5586,0.328266,364.414,4.015625,1.318191,5.293362,0.750133,Trade-off intermediario,0,0,1,0
158,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,3,8,"M=5, L=3, K=8",0,0,0.94373,0.977198,6784.663,0.118515,0.073463,Erro controlado,69.2934,61.0506,0.383833,389.494,4.125,1.58331,6.531153,0.749845,Trade-off intermediario,0,0,1,0
159,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,4,7,"M=5, L=4, K=7",0,0,0.956885,0.982525,5230.484,0.090721,0.057258,Erro controlado,65.5269,57.3577,0.430914,426.423,4.234375,1.82465,7.726253,0.746466,Trade-off intermediario,0,0,1,0
160,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,5,6,"M=5, L=5, K=6",0,0,0.967802,0.986952,3935.542,0.067793,0.042276,Baixo erro,61.5799,53.7972,0.480252,462.028,4.34375,2.086093,9.061468,0.741358,Prioridade em acuracia,0,0,1,1
161,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,6,5,"M=5, L=6, K=5",0,0,0.977837,0.991023,2700.34,0.046765,0.027985,Baixo erro,55.7421,51.655,0.553224,483.45,4.453125,2.463575,10.970606,0.731857,Prioridade em acuracia,0,1,1,1
162,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,7,4,"M=5, L=7, K=4",0,0,0.985062,0.993947,1870.495,0.031473,0.019388,Baixo erro,51.1599,48.8617,0.610501,511.383,4.5625,2.785412,12.708444,0.71899,Prioridade em acuracia,0,0,1,1
163,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,8,3,"M=5, L=8, K=3",0,0,0.991574,0.996585,1047.464,0.017731,0.011181,Baixo erro,47.0583,44.8537,0.661771,551.463,4.671875,3.09171,14.444084,0.704714,Prioridade em acuracia,0,0,1,1
164,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,9,2,"M=5, L=9, K=2",0,0,0.995676,0.998253,526.258,0.009216,0.004429,Baixo erro,42.5126,40.9639,0.718592,590.361,4.78125,3.435768,16.427263,0.687474,Prioridade em acuracia,0,0,1,1
165,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,5,10,1,"M=5, L=10, K=1",0,0,0.998481,0.99939,188.383,0.003318,0.000644,Baixo erro,36.8244,39.4342,0.789695,605.658,4.890625,3.862104,18.888101,0.668036,Prioridade em acuracia,1,1,1,1
166,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,1,9,"M=6, L=1, K=9",0,0,0.928848,0.971168,8566.342,0.149861,0.092876,Erro controlado,73.5912,65.3692,0.33011,346.308,4.015625,1.325598,5.323106,0.752895,Prioridade em area,0,0,1,0
167,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,2,8,"M=6, L=2, K=8",0,0,0.943929,0.97728,6795.966,0.118127,0.072843,Erro controlado,68.3476,60.3381,0.395655,396.619,4.125,1.632077,6.732318,0.745589,Trade-off intermediario,0,0,1,0
168,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,3,7,"M=6, L=3, K=7",0,0,0.957532,0.982788,5153.084,0.089379,0.056193,Erro controlado,63.4057,57.4232,0.457429,425.768,4.234375,1.936926,8.201672,0.740234,Trade-off intermediario,0,0,1,0
169,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,4,6,"M=6, L=4, K=6",0,0,0.968797,0.987351,3762.672,0.065625,0.041804,Baixo erro,60.8551,54.5569,0.489311,454.431,4.34375,2.125445,9.232401,0.740982,Prioridade em acuracia,0,0,1,1
170,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,5,5,"M=6, L=5, K=5",0,1,0.977798,0.991007,2707.129,0.046846,0.02803,Baixo erro,55.32,50.9152,0.5585,490.848,4.453125,2.487068,11.075227,0.728662,Prioridade em acuracia,0,0,1,1
171,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,6,4,"M=6, L=6, K=4",0,0,0.98591,0.994291,1754.1,0.029685,0.018291,Baixo erro,51.677,47.3066,0.604038,526.934,4.5625,2.755923,12.573899,0.718632,Prioridade em acuracia,0,0,1,1
172,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,7,3,"M=6, L=7, K=3",0,0,0.991702,0.996636,1054.384,0.017448,0.011146,Baixo erro,47.2148,44.8245,0.659815,551.755,4.671875,3.082575,14.401405,0.705247,Prioridade em acuracia,0,0,1,1
173,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,8,2,"M=6, L=8, K=2",0,0,0.996235,0.998478,441.583,0.008001,0.004108,Baixo erro,42.3833,40.4996,0.720209,595.004,4.78125,3.443501,16.464238,0.686346,Prioridade em acuracia,0,0,1,1
174,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,6,9,1,"M=6, L=9, K=1",0,0,0.998338,0.999325,197.865,0.003467,0.002542,Baixo erro,36.9645,37.7593,0.787943,622.407,4.890625,3.853536,18.8462,0.662694,Prioridade em acuracia,0,0,1,1
175,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,7,1,8,"M=7, L=1, K=8",0,0,0.943705,0.977186,6820.121,0.118513,0.074106,Erro controlado,67.5328,60.274,0.40584,397.26,4.125,1.67409,6.905622,0.741115,Trade-off intermediario,0,0,1,0
176,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,7,2,7,"M=7, L=2, K=7",0,0,0.95658,0.982403,5237.972,0.091399,0.05726,Erro controlado,62.6952,56.8244,0.46631,431.756,4.234375,1.97453,8.360901,0.73517,Trade-off intermediario,0,0,1,0
177,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,7,3,6,"M=7, L=3, K=6",0,0,0.96892,0.987405,3751.593,0.065442,0.04078,Baixo erro,59.8064,52.8832,0.502419,471.168,4.34375,2.182384,9.479732,0.734686,Prioridade em acuracia,0,0,1,1
178,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,7,4,5,"M=7, L=4, K=5",0,1,0.977551,0.990904,2720.272,0.047307,0.029014,Baixo erro,55.7988,50.6926,0.552515,493.074,4.453125,2.460417,10.956546,0.728772,Prioridade em acuracia,0,0,1,1
179,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,7,5,4,"M=7, L=5, K=4",0,0,0.985291,0.99404,1780.126,0.030986,0.019128,Baixo erro,49.1633,48.2052,0.635459,517.948,4.5625,2.899282,13.227975,0.7107,Prioridade em acuracia,0,0,1,1
180,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,7,6,3,"M=7, L=6, K=3",0,0,0.99147,0.996543,1026.478,0.01797,0.011094,Baixo erro,45.2766,44.3882,0.684042,556.118,4.671875,3.19576,14.930191,0.697418,Prioridade em acuracia,0,0,1,1
181,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,7,7,2,"M=7, L=7, K=2",0,0,0.995474,0.998166,535.61,0.009539,0.005829,Baixo erro,40.5982,41.4791,0.742523,585.209,4.78125,3.550187,16.974331,0.680201,Prioridade em acuracia,0,0,1,1
182,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,7,8,1,"M=7, L=8, K=1",0,0,0.999162,0.99966,127.796,0.001763,0.001122,Baixo erro,37.0494,36.0949,0.786882,639.051,4.890625,3.848346,18.820818,0.660913,Prioridade em acuracia,0,0,1,1
183,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,8,1,7,"M=8, L=1, K=7",0,0,0.956424,0.982345,5304.611,0.091848,0.05611,Erro controlado,62.975,56.1877,0.462812,438.123,4.234375,1.959721,8.298192,0.736056,Trade-off intermediario,0,0,1,0
184,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,8,2,6,"M=8, L=2, K=6",0,0,0.968876,0.987383,3791.92,0.065447,0.041812,Baixo erro,57.315,51.8587,0.533563,481.413,4.34375,2.317663,10.06735,0.72236,Prioridade em acuracia,0,0,1,1
185,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,8,3,5,"M=8, L=3, K=5",0,1,0.978376,0.991233,2665.476,0.045442,0.029387,Baixo erro,53.4587,49.489,0.581767,505.11,4.453125,2.590679,11.536619,0.717332,Prioridade em acuracia,0,0,1,1
186,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,8,4,4,"M=8, L=4, K=4",0,0,0.985552,0.994149,1819.44,0.030526,0.017792,Baixo erro,49.2093,46.5475,0.634884,534.525,4.5625,2.896659,13.216005,0.708701,Prioridade em acuracia,0,0,1,1
187,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,8,5,3,"M=8, L=5, K=3",0,0,0.99134,0.996495,1072.132,0.018334,0.010249,Baixo erro,44.8028,42.4558,0.689965,575.442,4.671875,3.223428,15.059453,0.692402,Prioridade em acuracia,0,0,1,1
188,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,8,6,2,"M=8, L=6, K=2",0,0,0.996192,0.998457,469.02,0.00803,0.004868,Baixo erro,40.4901,38.68,0.743874,613.2,4.78125,3.556646,17.005212,0.674704,Prioridade em acuracia,0,0,1,1
189,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,8,7,1,"M=8, L=7, K=1",0,0,0.998084,0.999225,212.52,0.004072,0.002099,Baixo erro,36.8494,36.9826,0.789383,630.174,4.890625,3.860577,18.880633,0.661063,Prioridade em acuracia,0,0,1,1
190,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,9,1,6,"M=9, L=1, K=6",0,0,0.967761,0.986938,3948.828,0.067939,0.041659,Baixo erro,57.1588,51.7918,0.535515,482.082,4.34375,2.326144,10.104188,0.721826,Prioridade em acuracia,0,0,1,1
191,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,9,2,5,"M=9, L=2, K=5",0,0,0.97766,0.990949,2749.592,0.047095,0.028669,Baixo erro,53.8816,49.0281,0.576479,509.719,4.453125,2.567135,11.431773,0.718631,Prioridade em acuracia,0,0,1,1
192,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,9,3,4,"M=9, L=3, K=4",0,0,0.985122,0.993976,1858.085,0.031459,0.018046,Baixo erro,49.0479,45.0644,0.636902,549.356,4.5625,2.905865,13.258008,0.704557,Prioridade em acuracia,0,0,1,1
193,M-AxPPA,M-AxPPA-TRUNC,TRUNC,16,9,4,3,"M=9, L=4, K=3",0,0,0.991734,0.996652,1022.09,0.017438,0.010478,Baixo erro,44.7578,41.9439,0.690528,580.561,4.671875,3.226058,15.071741,0.690851,Prioridade em acuracia,0,0,1,1
